source_id,title,category,access,local_state,authority_role,automation_route,url
microchip-avr042-hardware-design,AVR042: AVR Hardware Design Considerations,mcu-foundation,free-official,identity-pinned-private-cache,generic vendor guidance,official HTTPS intake,https://ww1.microchip.com/downloads/en/appnotes/atmel-2521-avr-hardware-design-considerations_applicationnote_avr042.pdf
microchip-an2519-avr-hardware-design,AN2519: AVR Microcontroller Hardware Design Considerations,mcu-foundation,free-official,identity-pinned-private-cache,generic vendor guidance,official HTTPS intake,https://ww1.microchip.com/downloads/en/Appnotes/AN2519-AVR-Microcontroller-Hardware-Design-Considerations-00002519B.pdf
adi-an-1142-high-speed-adc-layout,AN-1142: Techniques for High Speed ADC PCB Layout,mixed-signal-pdn,free-official,network-blocked-monitor-online,generic vendor guidance,retry then browser-capable official fallback,https://www.analog.com/media/en/technical-documentation/app-notes/an-1142.pdf
adi-an-136-switching-regulator-layout,AN-136: PCB Layout Considerations for Non-Isolated Switching Power Supplies,switching-power,free-official,network-blocked-monitor-online,topology guidance,retry then browser-capable official fallback,https://www.analog.com/media/en/technical-documentation/app-notes/an-136.pdf
ti-spra953d-hardware-design-guide,Hardware Design Guide for KeyStone I Devices,complex-soc,free-official,identity-pinned-private-cache,device-family guidance,official HTTPS intake,https://www.ti.com/lit/an/spra953d/spra953d.pdf
adi-mt-101-decoupling,MT-101: Decoupling Techniques,pdn-decoupling,free-official,network-blocked-monitor-online,generic engineering guidance,retry then browser-capable official fallback,https://www.analog.com/media/en/training-seminars/tutorials/MT-101.pdf
adi-mt-031-grounding,MT-031: Grounding Data Converters and Solving the Mystery of AGND and DGND,mixed-signal-grounding,free-official,network-blocked-monitor-online,generic engineering guidance,retry then browser-capable official fallback,https://www.analog.com/media/en/training-seminars/tutorials/MT-031.pdf
ti-scaa082a-high-speed-layout,High-Speed Layout Guidelines,signal-integrity,free-official,identity-pinned-private-cache,generic vendor guidance,official HTTPS intake,https://www.ti.com/lit/an/scaa082a/scaa082a.pdf
ti-spraar7j-high-speed-interface-layout,High-Speed Interface Layout Guidelines,serdes-high-speed,free-official,identity-pinned-private-cache,interface-family guidance,official HTTPS intake,https://www.ti.com/lit/an/spraar7j/spraar7j.pdf
ti-sprad06c-ddr-layout,AM62x and AM62Lx DDR Board Design and Layout Guidelines,ddr-memory,free-official,identity-pinned-private-cache,device-family guidance,official HTTPS intake,https://www.ti.com/lit/an/sprad06c/sprad06c.pdf
ti-slla284g-digital-isolator,Digital Isolator Design Guide,isolation-emc,free-official,identity-pinned-private-cache,generic and family guidance,official HTTPS intake,https://www.ti.com/lit/an/slla284g/slla284g.pdf
ti-slva959b-motor-driver-layout,Best Practices for Board Layout of Motor Drivers,motor-high-current,free-official,identity-pinned-private-cache,topology guidance,official HTTPS intake,https://www.ti.com/lit/an/slva959b/slva959b.pdf
ti-swru458-cc31xx-cc32xx-layout,CC3120 CC3220 SimpleLink Wi-Fi and IoT Solution Layout Guidelines,rf-wireless,free-official,identity-pinned-private-cache,device-family reference-layout guidance,official HTTPS intake,https://www.ti.com/lit/ug/swru458/swru458.pdf
ti-slva673a-robust-hot-swap,Robust Hot Swap Design,power-entry-protection,free-official,identity-pinned-private-cache,topology and SOA guidance,official HTTPS intake,https://www.ti.com/lit/an/slva673a/slva673a.pdf
ti-slva773-boost-layout,Five Steps to a Good PCB Layout of a Boost Converter,switching-power,free-official,identity-pinned-private-cache,topology guidance,official HTTPS intake,https://www.ti.com/lit/an/slva773/slva773.pdf
microchip-an2648b-crystal-oscillator,AN2648: Selecting and Testing 32 kHz Crystal Oscillators for AVR Microcontrollers,clock-oscillator,free-official,identity-pinned-private-cache,device-family guidance,official HTTPS intake,https://ww1.microchip.com/downloads/aemDocuments/documents/MCU08/ApplicationNotes/ApplicationNotes/AN2648-Selecting_Testing-32KHz-Crystal-Osc-for-AVR-MCUs-00002648B.pdf
